@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0022984624,660
0.002288932,661
0.0020472037,662
0.0020532357,663
0.0021138326,664
0.002065178,665
0.0019033066,666
0.0020161702,667
0.0019563409,668
0.0019287653,669
0.0019832647,670
0.0019486576,671
0.0019228144,672
0.0017463892,673
0.0016566417,674
0.001622272,675
0.0015097271,676
0.0015813181,677
0.0014274813,678
0.0013758062,679
0.0013591787,680
0.0011677794,681
0.0012029789,682
0.0012185842,683
0.0011426351,684
0.001205422,685
0.0015148371,686
0.0025022195,687
0.002665457,688
0.008035331,689
0.010965075,690
0.010137263,691
0.009295785,692
0.0070795277,693
0.0046841176,694
0.0046150754,695
0.00514903,696
0.003775942,697
0.0042691156,698
0.0034511127,699
0.0031462456,700
0.0028023175,701
0.0023897914,702
0.0024287538,703
0.0022650003,704
0.0024162736,705
0.0019135115,706
0.0018846343,707
0.0024150328,708
0.0027616022,709
0.0027488295,710
0.0027073054,711
0.002613834,712
0.0028858057,713
0.0027989761,714
0.0026799839,715
0.002639079,716
0.002695952,717
0.012572441,718
0.031411167,719
0.030990675,720
0.026788747,721
0.023758994,722
0.015245924,723
0.013899339,724
0.017527003,725
0.01181823,726
0.011114932,727
0.010583842,728
0.007746957,729
0.0066206367,730
0.0076226178,731
0.0078017036,732
0.006509212,733
0.0062758573,734
0.0058794664,735
0.0048778974,736
0.004376887,737
0.0037062936,738
0.0033439603,739
0.0030396492,740
0.033918317,741
0.050661713,742
0.045426857,743
0.042305484,744
0.035585243,745
0.024863806,746
0.02267187,747
0.02783649,748
0.017058741,749
0.018893866,750
0.014988847,751
0.011452069,752
0.012344436,753
0.011213559,754
0.012926676,755
0.011298302,756
0.011728012,757
0.011046577,758
0.009793641,759
0.0084856525,760
0.008322894,761
0.007488786,762
0.006669113,763
0.008188325,764
0.0105079925,765
0.0124026295,766
0.023062296,767
0.036103815,768
0.044323962,769
0.041844238,770
0.035989612,771
0.032708164,772
0.030688278,773
0.03263214,774
0.033467695,775
0.035183933,776
0.03709247,777
0.034149133,778
0.03148469,779
0.025661,780
0.023615796,781
0.021047011,782
0.01716554,783
0.013448659,784
0.01210105,785
0.009839953,786
0.008097441,787
0.009116246,788
0.008257836,789
0.0073716883,790
0.0068138,791
0.005992847,792
0.005045727,793
0.0042150337,794
0.0039790836,795
0.0042281845,796
0.004078759,797
0.0046857726,798
0.004483295,799
0.0048241233,800
0.0069545503,801
0.009166189,802
0.009188636,803
0.0104323225,804
0.01009069,805
0.010488373,806
0.010153722,807
0.010040206,808
0.009182194,809
0.008343581,810
0.008918634,811
0.008416366,812
0.008142501,813
0.007179795,814
0.007165461,815
0.006454755,816
0.006314647,817
0.006738768,818
0.006534593,819
0.0064814505,820
0.0070933704,821
0.008627474,822
0.008289388,823
0.0082331635,824
0.007204731,825
0.0074659404,826
0.0068117986,827
0.0064013563,828
0.00664644,829
0.006027231,830
0.005497744,831
0.00705481,832
0.007490909,833
0.007430758,834
0.0068336218,835
0.006313797,836
0.0063089756,837
0.0063365195,838
0.006288765,839
0.006292316,840
0.0062916595,841
0.006480053,842
0.0065268045,843
0.006586592,844
0.0066715637,845
0.006832034,846
0.0065931315,847
0.0077240053,848
0.011865832,849
0.0095293,850
0.007978092,851
0.006544496,852
0.006375619,853
0.0059515825,854
0.0059829084,855
0.0056237676,856
0.00570653,857
0.0055279722,858
0.005852841,859
0.006207187,860
0.0060195164,861
0.005525551,862
0.004990087,863
0.005574837,864
0.0054803016,865
0.005365094,866
0.004948193,867
0.0046336493,868
0.004694228,869
0.0043055536,870
0.0038462258,871
0.0034966767,872
0.0032321375,873
0.0029018489,874
0.0029784339,875
0.0028919065,876
0.002835909,877
0.0047495565,878
0.0057583605,879
0.0061205635,880
0.0051957318,881
0.004978486,882
0.00488681,883
0.0054907766,884
0.0055487985,885
0.0047770906,886
0.005098663,887
0.0048249327,888
0.005422595,889
0.005384589,890
0.0051962235,891
0.0075668874,892
0.017652286,893
0.015597653,894
0.013954194,895
0.014325981,896
0.013223434,897
0.012491419,898
0.011159381,899
0.010037545,900
0.009141515,901
0.008755023,902
0.007933566,903
0.011423667,904
0.011464235,905
