@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
586.10767,861
610.1264,862
581.9896,863
530.32635,864
535.5732,865
556.39404,866
538.0802,867
500.27417,868
464.1098,869
447.76135,870
438.8422,871
449.98578,872
474.07202,873
478.52438,874
506.39432,875
511.63397,876
503.55127,877
567.1605,878
572.1995,879
560.59656,880
529.24963,881
522.65125,882
558.5006,883
546.2731,884
551.5758,885
558.2406,886
533.8319,887
511.41232,888
520.9587,889
545.04156,890
555.0851,891
566.0387,892
566.2812,893
576.17944,894
555.6392,895
576.92474,896
567.12695,897
547.076,898
546.0742,899
548.6005,900
560.79675,901
563.6958,902
591.1192,903
577.8504,904
568.3859,905
522.733,906
517.4277,907
482.7386,908
464.37637,909
475.50323,910
492.9295,911
493.78662,912
507.24384,913
536.29034,914
652.3822,915
672.30585,916
670.3721,917
669.3728,918
654.77136,919
653.9143,920
651.3128,921
623.0764,922
589.2601,923
556.55884,924
619.9118,925
576.71295,926
578.58356,927
561.2647,928
575.98553,929
607.4144,930
555.8609,931
557.2516,932
532.49054,933
526.3988,934
517.45575,935
722.6034,936
739.45825,937
724.8239,938
654.40784,939
648.6501,940
665.9647,941
663.81824,942
647.0358,943
672.1879,944
651.5627,945
675.2324,946
675.60223,947
667.48267,948
754.3456,949
693.341,950
695.8855,951
720.39136,952
566.33075,953
559.06866,954
598.1029,955
557.3137,956
560.2169,957
520.2052,958
506.91226,959
525.6202,960
538.3234,961
553.08594,962
503.2607,963
565.2934,964
508.8386,965
571.41254,966
572.16693,967
502.94897,968
484.55353,969
489.29874,970
476.63492,971
518.29926,972
526.239,973
501.68564,974
481.85187,975
489.8601,976
493.2345,977
515.41205,978
485.53833,979
481.81024,980
514.1548,981
444.2104,982
453.2032,983
487.52658,984
502.25568,985
477.7765,986
474.79492,987
434.60928,988
445.53705,989
476.98074,990
392.46542,991
400.74066,992
405.01205,993
398.96454,994
399.39307,995
374.55792,996
395.27963,997
418.09836,998
417.4468,999
415.41565,1000
424.7477,1001
453.43637,1002
457.48697,1003
492.18677,1004
484.43066,1005
484.2363,1006
459.6129,1007
442.56778,1008
438.8917,1009
433.49567,1010
442.59613,1011
443.39856,1012
425.05276,1013
491.16766,1014
491.45258,1015
472.80426,1016
462.54184,1017
444.7279,1018
466.80127,1019
519.4761,1020
489.05917,1021
520.10626,1022
550.1254,1023
571.3265,1024
522.46545,1025
727.97156,1026
936.4224,1027
828.5577,1028
791.8394,1029
786.02484,1030
794.9157,1031
788.7213,1032
801.463,1033
750.9915,1034
829.1752,1035
763.1263,1036
764.8661,1037
688.3872,1038
673.3046,1039
667.5117,1040
672.5288,1041
649.7213,1042
635.5794,1043
606.514,1044
619.4592,1045
622.9754,1046
626.03455,1047
612.8416,1048
625.2897,1049
590.29944,1050
634.6706,1051
593.5268,1052
574.537,1053
565.32324,1054
567.31195,1055
1049.27,1056
890.7842,1057
891.86945,1058
833.90094,1059
784.0277,1060
771.574,1061
756.0911,1062
768.6414,1063
774.2365,1064
807.18335,1065
814.0692,1066
852.6576,1067
816.6831,1068
849.54724,1069
755.4237,1070
740.3425,1071
996.72345,1072
937.7663,1073
898.28516,1074
872.065,1075
824.04956,1076
817.6239,1077
858.1409,1078
840.97424,1079
915.3931,1080
913.07367,1081
1029.6682,1082
1003.4154,1083
848.751,1084
884.81537,1085
829.1742,1086
845.0061,1087
839.849,1088
788.0732,1089
831.54486,1090
863.8145,1091
881.4998,1092
