@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.1260886,1388
1.4543042,1389
1.494543,1390
1.5578275,1391
1.3410325,1392
1.1896106,1393
1.4771953,1394
1.6556327,1395
1.653948,1396
1.5724366,1397
1.2827183,1398
1.1620429,1399
1.3927097,1400
1.4336731,1401
1.4068679,1402
1.2718688,1403
0.9969432,1404
1.4912817,1405
1.4311126,1406
1.4468632,1407
1.4957218,1408
1.0251954,1409
1.157386,1410
1.2848676,1411
1.3747888,1412
1.4263966,1413
1.442829,1414
1.2866447,1415
1.3946849,1416
1.4438683,1417
1.4664247,1418
1.402286,1419
1.1979036,1420
1.3281934,1421
1.3934335,1422
1.381571,1423
1.3569,1424
1.0864732,1425
1.414752,1426
1.2002923,1427
1.295181,1428
1.2394487,1429
1.1355854,1430
1.4025252,1431
1.4274356,1432
1.5154359,1433
1.4706119,1434
1.1984427,1435
1.2945796,1436
1.383244,1437
1.4912444,1438
1.5337406,1439
1.3188616,1440
1.2399735,1441
1.349134,1442
1.4699433,1443
1.5051421,1444
1.4816885,1445
1.2043873,1446
1.4206215,1447
1.4262731,1448
1.573106,1449
1.5542283,1450
1.3887167,1451
1.0224568,1452
1.4331551,1453
1.3989503,1454
1.5025768,1455
1.3395953,1456
0.9957908,1457
1.3994434,1458
1.5811373,1459
1.6467115,1460
1.5317839,1461
1.3716578,1462
1.1894553,1463
1.5324129,1464
1.4794232,1465
1.3772286,1466
1.3545082,1467
1.256368,1468
1.4477533,1469
1.3585135,1470
1.3666683,1471
1.360065,1472
1.1279247,1473
1.4218286,1474
1.3450323,1475
1.3824238,1476
1.4369648,1477
1.1317797,1478
1.4805394,1479
1.4319882,1480
1.5620719,1481
1.5426792,1482
1.4132589,1483
1.194821,1484
1.3227239,1485
1.4518361,1486
1.5149928,1487
1.4494545,1488
1.2891126,1489
1.5210599,1490
1.5190215,1491
1.6187081,1492
1.5639102,1493
1.2101697,1494
1.1914165,1495
1.5525138,1496
1.467088,1497
1.6127816,1498
1.4235747,1499
0.94349337,1500
1.4788405,1501
1.4719416,1502
1.5657072,1503
1.5963281,1504
1.2885065,1505
1.3197432,1506
1.4933785,1507
1.614302,1508
1.5716867,1509
1.4555058,1510
1.2447078,1511
1.4091829,1512
1.661456,1513
1.6569062,1514
1.5423658,1515
1.4481411,1516
1.4118251,1517
1.4378814,1518
1.5816109,1519
1.4598262,1520
1.3572811,1521
1.2524742,1522
1.0960962,1523
1.4229791,1524
1.5379865,1525
1.5467265,1526
1.4261844,1527
0.8916265,1528
1.501507,1529
1.4001287,1530
1.4731588,1531
1.5422988,1532
1.0777049,1533
1.40889,1534
1.4390312,1535
1.5793924,1536
1.5295864,1537
1.2621439,1538
1.2929035,1539
1.4051358,1540
1.5200986,1541
1.4862735,1542
1.2713115,1543
1.555418,1544
1.6271077,1545
1.5835692,1546
1.52674,1547
0.9374803,1548
1.274788,1549
1.2965448,1550
1.100386,1551
1.3565058,1552
1.4292519,1553
1.5459635,1554
1.2090107,1555
1.4579346,1556
1.13868,1557
1.207481,1558
1.5759236,1559
1.674297,1560
1.5241913,1561
1.6149863,1562
1.6431775,1563
1.6116568,1564
1.6888183,1565
1.5811418,1566
1.5310377,1567
1.5934304,1568
1.6678268,1569
1.4359801,1570
1.1890974,1571
1.172449,1572
1.240974,1573
1.2134913,1574
1.3545921,1575
1.4762203,1576
1.605621,1577
