@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.5381073,1085
0.4952668,1086
0.41003978,1087
0.59407336,1088
0.5022197,1089
0.5562862,1090
0.5317372,1091
0.27258363,1092
0.36796188,1093
0.33308524,1094
0.36166325,1095
0.40738693,1096
0.37845302,1097
0.39323506,1098
0.42634988,1099
0.37344143,1100
0.41726187,1101
0.44420195,1102
0.2914711,1103
0.37073153,1104
0.4316273,1105
0.3743089,1106
0.37824664,1107
0.35819393,1108
0.2833671,1109
0.35760188,1110
0.34170786,1111
0.4070757,1112
0.4427872,1113
0.23632509,1114
0.32686538,1115
0.34263963,1116
0.33528587,1117
0.38546628,1118
0.200581,1119
0.32276943,1120
0.3378732,1121
0.3289052,1122
0.36660996,1123
0.2739706,1124
0.29500195,1125
0.33811396,1126
0.381571,1127
0.50965273,1128
0.35547164,1129
0.5634916,1130
0.5396147,1131
0.5728889,1132
0.5285833,1133
0.44407177,1134
0.41974142,1135
0.37365493,1136
0.3980113,1137
0.37823474,1138
0.39142334,1139
0.32278115,1140
0.39996982,1141
0.4113916,1142
0.3725529,1143
0.49807474,1144
0.2696236,1145
0.32469037,1146
0.3501087,1147
0.35065365,1148
0.36339834,1149
0.39093825,1150
0.23272437,1151
0.3161373,1152
0.35580832,1153
0.36972558,1154
0.42955497,1155
0.24944443,1156
0.2424637,1157
0.28173196,1158
0.30707803,1159
0.3086868,1160
0.31479317,1161
0.2985575,1162
0.42717153,1163
0.40229255,1164
0.42658556,1165
0.4675061,1166
0.30901742,1167
0.3143973,1168
0.31669787,1169
0.31648293,1170
0.38188872,1171
0.36173028,1172
0.24080001,1173
0.44221017,1174
0.45671585,1175
0.5461237,1176
0.5600957,1177
0.41559002,1178
0.38811752,1179
0.50769454,1180
0.40614605,1181
0.41819555,1182
0.37958923,1183
0.3718115,1184
0.42663002,1185
0.35030195,1186
0.40449783,1187
0.60589916,1188
0.4300699,1189
0.5743798,1190
0.32056153,1191
0.25228035,1192
0.36037448,1193
0.16875863,1194
0.24656296,1195
0.21898618,1196
0.24550028,1197
0.2633251,1198
0.30782074,1199
0.24289426,1200
0.25858805,1201
0.24128331,1202
0.22827755,1203
0.36374283,1204
0.32561263,1205
0.3533134,1206
0.2900051,1207
0.30000025,1208
