@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.022418372,616
0.014688007,617
0.015137221,618
0.010875229,619
0.01563365,620
0.04458152,621
0.03103704,622
0.010549714,623
0.006384081,624
0.0031973105,625
6.190931E-4,626
4.9840385E-4,627
3.8199528E-4,628
0.061849304,629
0.109069064,630
0.061245557,631
0.03790948,632
0.022009818,633
0.015906239,634
0.014452322,635
0.010788712,636
0.010075682,637
0.006848632,638
0.030045066,639
0.040356122,640
0.015010476,641
0.007408952,642
0.008167155,643
0.014015926,644
0.011616956,645
0.008435997,646
0.007188482,647
0.1453863,648
0.11748488,649
0.09527428,650
0.057555616,651
0.032500617,652
0.021382364,653
0.014555896,654
0.013602313,655
0.012757684,656
0.015945744,657
0.04660822,658
0.021592883,659
0.010152786,660
0.0064494936,661
0.012021485,662
0.010229723,663
0.009058782,664
0.008932941,665
0.08211257,666
0.10368279,667
0.06433701,668
0.034225434,669
0.021553138,670
0.015366766,671
0.013906886,672
0.011768206,673
0.0092485035,674
0.008588692,675
0.12816565,676
0.08814049,677
0.042674962,678
0.019107183,679
0.01016572,680
0.011935766,681
0.009356991,682
0.008680814,683
0.006967263,684
0.15242405,685
0.11996509,686
0.08695547,687
0.057732966,688
0.029882753,689
0.02186573,690
0.014687778,691
0.014763951,692
0.00982606,693
0.07899756,694
0.103816524,695
0.062516004,696
0.02878977,697
0.013198021,698
0.0048040524,699
0.0026828216,700
4.2624612E-4,701
3.5494516E-4,702
0.09015452,703
0.09331111,704
0.058897614,705
0.031255927,706
0.020651551,707
0.015691152,708
0.013406194,709
0.012255788,710
0.009547478,711
0.01787673,712
0.124288276,713
0.08282001,714
0.03989191,715
0.017305573,716
0.010567308,717
0.011628264,718
0.009249239,719
0.009035547,720
0.0060617276,721
0.16910937,722
0.11141396,723
0.08657293,724
0.053861633,725
0.029014194,726
0.02046619,727
0.015063209,728
0.013377522,729
0.010673469,730
0.092664085,731
0.09841759,732
0.05834362,733
0.025413388,734
0.012023916,735
0.0046918592,736
0.0022833948,737
4.041169E-4,738
3.5337874E-4,739
0.10323995,740
0.091446504,741
0.058179464,742
0.03068957,743
0.01770339,744
0.017332107,745
0.012056842,746
0.012036969,747
0.009511494,748
0.029542405,749
0.1240295,750
0.081130765,751
0.03699836,752
0.016456189,753
0.009810935,754
0.011677614,755
0.01021509,756
0.0076457774,757
0.0071038757,758
0.17301805,759
0.11503989,760
0.082396135,761
0.05118778,762
0.027423214,763
0.020234419,764
0.015738884,765
0.013263624,766
0.010087077,767
0.09948003,768
0.09775934,769
0.055959105,770
0.024675654,771
0.01140404,772
0.0044037243,773
0.0020538976,774
3.9580092E-4,775
3.2814403E-4,776
0.11321881,777
0.08487376,778
0.054204144,779
0.029381238,780
0.017025502,781
0.01716908,782
0.011964163,783
0.011791603,784
0.008329818,785
0.040507045,786
0.11982332,787
0.0740601,788
0.035440892,789
0.016194522,790
0.009462292,791
0.011722571,792
0.010298955,793
0.0068225693,794
0.027308697,795
