@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.269157,1302
1.1055546,1303
0.9217118,1304
0.9288568,1305
0.97290486,1306
1.002056,1307
0.97694916,1308
1.0808357,1309
1.249581,1310
1.2125632,1311
1.4675148,1312
1.2212877,1313
1.2163297,1314
1.0881628,1315
1.3511419,1316
1.7245221,1317
1.7796694,1318
1.8334409,1319
2.09299,1320
2.0246594,1321
0.9308185,1322
0.9321369,1323
0.8873822,1324
1.0200943,1325
0.9048699,1326
0.89518493,1327
1.0833256,1328
1.0749022,1329
0.9905139,1330
1.3275012,1331
1.1473861,1332
1.276895,1333
1.6252812,1334
1.8714687,1335
1.9157118,1336
1.8075476,1337
2.064072,1338
2.093831,1339
1.301886,1340
0.955765,1341
0.8974372,1342
0.9541715,1343
1.0175322,1344
1.0435376,1345
1.1049854,1346
1.2869889,1347
1.2458783,1348
1.4549079,1349
1.2334356,1350
1.2011579,1351
1.1273073,1352
1.4044867,1353
1.8056766,1354
1.705774,1355
2.0262003,1356
2.0874119,1357
1.9527152,1358
0.9008519,1359
0.91294557,1360
0.9610656,1361
1.0441592,1362
0.9800214,1363
0.92687094,1364
1.0810639,1365
1.1518425,1366
1.0710294,1367
1.3678383,1368
1.1259619,1369
1.3384367,1370
1.6696113,1371
1.9906441,1372
1.8777537,1373
1.866598,1374
2.0176122,1375
2.0153759,1376
1.2915704,1377
0.91194564,1378
0.9159683,1379
1.0397452,1380
1.0221769,1381
0.9964142,1382
1.1248016,1383
1.2152891,1384
1.2292432,1385
1.4753603,1386
1.182211,1387
1.2447613,1388
1.1299025,1389
1.3564003,1390
1.8142459,1391
1.7239395,1392
2.0192456,1393
2.1639454,1394
1.8322995,1395
0.95191395,1396
0.8931342,1397
0.97756696,1398
0.99870473,1399
0.9829823,1400
1.05932,1401
1.25642,1402
1.2735263,1403
1.2636127,1404
1.3501182,1405
1.1235551,1406
1.2774894,1407
1.7872267,1408
1.8521202,1409
1.7511007,1410
1.8190447,1411
2.0137506,1412
1.7312076,1413
1.152948,1414
0.9204661,1415
0.9161775,1416
1.0165051,1417
1.0175728,1418
0.9960399,1419
1.2763609,1420
1.1927974,1421
1.2233641,1422
1.3896518,1423
1.1440947,1424
1.1933036,1425
1.2011707,1426
1.4377176,1427
1.1979011,1428
1.1499834,1429
1.5055126,1430
1.7344431,1431
1.5594862,1432
0.9095035,1433
0.8721696,1434
0.9779662,1435
1.0649842,1436
0.9858571,1437
0.99536616,1438
1.1557571,1439
1.1349889,1440
1.2920247,1441
1.242865,1442
1.1997405,1443
1.2397734,1444
1.842896,1445
1.8782462,1446
1.8375401,1447
1.8183774,1448
2.0491376,1449
1.9672104,1450
1.0310498,1451
0.9314018,1452
0.90795994,1453
1.0607313,1454
1.0895935,1455
1.1032976,1456
1.2376598,1457
1.2807912,1458
1.3573502,1459
1.4604592,1460
1.255977,1461
1.2546757,1462
1.2298229,1463
1.6074781,1464
1.7793851,1465
1.7202123,1466
2.049987,1467
1.9309533,1468
1.6297677,1469
0.90136075,1470
0.8917647,1471
0.99853426,1472
1.0989832,1473
1.1000113,1474
1.2581148,1475
1.409877,1476
1.46675,1477
1.4863279,1478
1.211206,1479
1.2043358,1480
1.3300236,1481
1.73965,1482
1.9201,1483
1.7376578,1484
1.8283466,1485
2.0201354,1486
1.9305222,1487
0.98991615,1488
0.9535358,1489
0.8893132,1490
1.1013203,1491
1.03168,1492
1.2110043,1493
1.4144512,1494
1.4838451,1495
1.484679,1496
1.4726615,1497
1.2965201,1498
1.1685187,1499
1.2334315,1500
1.477879,1501
1.2302753,1502
1.3277872,1503
1.5377626,1504
1.7827156,1505
1.3112864,1506
0.93269575,1507
0.93275076,1508
1.0218742,1509
1.0117164,1510
1.0294178,1511
1.0610727,1512
1.2188684,1513
1.25298,1514
1.3236005,1515
1.2482083,1516
1.2173796,1517
1.3912619,1518
1.7591133,1519
1.877313,1520
1.5802697,1521
1.7709135,1522
1.7547534,1523
1.6707844,1524
0.91389745,1525
0.93672884,1526
0.888958,1527
1.0639849,1528
1.0268304,1529
1.0652875,1530
1.3196371,1531
1.3774544,1532
1.3050294,1533
1.3670869,1534
1.2649815,1535
1.1444522,1536
1.3050895,1537
1.3125733,1538
0.91915894,1539
0.90261686,1540
0.9865027,1541
1.1197877,1542
1.1771798,1543
1.1107544,1544
1.2435384,1545
1.2513435,1546
1.3480545,1547
0.95869523,1548
0.9804938,1549
1.0432031,1550
1.250828,1551
1.415679,1552
1.1347871,1553
1.2144302,1554
1.4345202,1555
1.881992,1556
1.6929225,1557
1.6180394,1558
1.7857819,1559
1.7453228,1560
1.4928129,1561
0.9473412,1562
0.9213791,1563
0.98495,1564
1.0945551,1565
1.0629689,1566
1.2096334,1567
1.2975334,1568
1.422143,1569
1.2831451,1570
1.4215448,1571
1.1778463,1572
1.1783322,1573
1.335561,1574
1.495462,1575
1.1956128,1576
1.2361785,1577
1.507801,1578
1.7891586,1579
1.1938591,1580
0.95446086,1581
0.889862,1582
1.0173209,1583
1.0166962,1584
1.0470598,1585
1.1438482,1586
1.1915408,1587
1.2923692,1588
1.4353402,1589
1.1416,1590
1.2835143,1591
1.4842609,1592
1.7976619,1593
1.7447124,1594
1.5747901,1595
1.717168,1596
1.8659915,1597
1.6054223,1598
0.96981615,1599
0.9128241,1600
0.9973697,1601
1.161356,1602
1.1872883,1603
1.3329247,1604
1.4613627,1605
1.572014,1606
1.4598522,1607
1.4100823,1608
1.1937759,1609
1.2033402,1610
1.3568732,1611
1.5897985,1612
1.7288588,1613
1.8125335,1614
1.7382772,1615
1.898237,1616
1.1862801,1617
0.9647249,1618
0.94402117,1619
1.0488929,1620
1.1467258,1621
1.1146797,1622
1.3137454,1623
1.4757755,1624
1.5266956,1625
1.5331464,1626
1.1779087,1627
1.2777386,1628
1.6252486,1629
1.8013774,1630
1.7788484,1631
1.6187156,1632
1.7912195,1633
1.8692772,1634
1.6037749,1635
0.91497535,1636
0.9338749,1637
1.0161654,1638
1.0635175,1639
1.167708,1640
1.2481674,1641
1.3588006,1642
1.468572,1643
1.4963883,1644
1.3634651,1645
1.2681558,1646
1.2168825,1647
1.3769102,1648
1.7043905,1649
